,Index,Time_since_1900,Time_Str
0,62,1001534,2014-04-03-14h
1,63,1001535,2014-04-03-15h
2,64,1001536,2014-04-03-16h
3,65,1001537,2014-04-03-17h
4,66,1001538,2014-04-03-18h
5,67,1001539,2014-04-03-19h
6,68,1001540,2014-04-03-20h
7,69,1001541,2014-04-03-21h
8,70,1001542,2014-04-03-22h
9,71,1001543,2014-04-03-23h
10,72,1001544,2014-04-04-00h
11,73,1001545,2014-04-04-01h
12,74,1001546,2014-04-04-02h
13,75,1001547,2014-04-04-03h
14,76,1001548,2014-04-04-04h
15,77,1001549,2014-04-04-05h
16,78,1001550,2014-04-04-06h
17,79,1001551,2014-04-04-07h
18,80,1001552,2014-04-04-08h
19,81,1001553,2014-04-04-09h
20,82,1001554,2014-04-04-10h
21,83,1001555,2014-04-04-11h
22,116,1001588,2014-04-05-20h
23,117,1001589,2014-04-05-21h
24,118,1001590,2014-04-05-22h
25,119,1001591,2014-04-05-23h
26,120,1001592,2014-04-06-00h
27,121,1001593,2014-04-06-01h
28,122,1001594,2014-04-06-02h
29,123,1001595,2014-04-06-03h
30,124,1001596,2014-04-06-04h
31,125,1001597,2014-04-06-05h
32,126,1001598,2014-04-06-06h
33,127,1001599,2014-04-06-07h
34,128,1001600,2014-04-06-08h
35,129,1001601,2014-04-06-09h
36,130,1001602,2014-04-06-10h
37,131,1001603,2014-04-06-11h
38,132,1001604,2014-04-06-12h
39,133,1001605,2014-04-06-13h
40,134,1001606,2014-04-06-14h
41,135,1001607,2014-04-06-15h
42,136,1001608,2014-04-06-16h
43,137,1001609,2014-04-06-17h
44,215,1001687,2014-04-09-23h
45,301,1001773,2014-04-13-13h
46,302,1001774,2014-04-13-14h
47,303,1001775,2014-04-13-15h
48,304,1001776,2014-04-13-16h
49,305,1001777,2014-04-13-17h
50,306,1001778,2014-04-13-18h
51,307,1001779,2014-04-13-19h
52,308,1001780,2014-04-13-20h
53,309,1001781,2014-04-13-21h
54,310,1001782,2014-04-13-22h
55,311,1001783,2014-04-13-23h
56,312,1001784,2014-04-14-00h
