,Index,Time_since_1900,Time_Str
0,375,1001847,2014-04-16-15h
1,376,1001848,2014-04-16-16h
2,377,1001849,2014-04-16-17h
3,378,1001850,2014-04-16-18h
4,379,1001851,2014-04-16-19h
5,380,1001852,2014-04-16-20h
6,381,1001853,2014-04-16-21h
7,391,1001863,2014-04-17-07h
8,392,1001864,2014-04-17-08h
9,393,1001865,2014-04-17-09h
10,590,1002062,2014-04-25-14h
11,591,1002063,2014-04-25-15h
12,1059,1002531,2014-05-15-03h
13,1060,1002532,2014-05-15-04h
14,1061,1002533,2014-05-15-05h
15,1294,1002766,2014-05-24-22h
16,1295,1002767,2014-05-24-23h
17,1305,1002777,2014-05-25-09h
18,1480,1002952,2014-06-01-16h
19,1481,1002953,2014-06-01-17h
20,1482,1002954,2014-06-01-18h
21,1483,1002955,2014-06-01-19h
22,1484,1002956,2014-06-01-20h
23,1485,1002957,2014-06-01-21h
24,1486,1002958,2014-06-01-22h
25,1487,1002959,2014-06-01-23h
26,1488,1002960,2014-06-02-00h
27,1489,1002961,2014-06-02-01h
28,1490,1002962,2014-06-02-02h
29,1491,1002963,2014-06-02-03h
30,1492,1002964,2014-06-02-04h
31,1493,1002965,2014-06-02-05h
32,1494,1002966,2014-06-02-06h
33,1495,1002967,2014-06-02-07h
34,1496,1002968,2014-06-02-08h
35,1497,1002969,2014-06-02-09h
36,1498,1002970,2014-06-02-10h
37,1499,1002971,2014-06-02-11h
38,1500,1002972,2014-06-02-12h
39,1501,1002973,2014-06-02-13h
40,1502,1002974,2014-06-02-14h
41,1503,1002975,2014-06-02-15h
42,1504,1002976,2014-06-02-16h
43,1505,1002977,2014-06-02-17h
44,1506,1002978,2014-06-02-18h
45,1507,1002979,2014-06-02-19h
46,1508,1002980,2014-06-02-20h
47,1509,1002981,2014-06-02-21h
48,2055,1003527,2014-06-25-15h
49,2056,1003528,2014-06-25-16h
50,2057,1003529,2014-06-25-17h
51,2058,1003530,2014-06-25-18h
52,2059,1003531,2014-06-25-19h
53,2060,1003532,2014-06-25-20h
54,2061,1003533,2014-06-25-21h
55,2071,1003543,2014-06-26-07h
56,2072,1003544,2014-06-26-08h
57,2073,1003545,2014-06-26-09h
58,2078,1003550,2014-06-26-14h
59,2079,1003551,2014-06-26-15h
60,2080,1003552,2014-06-26-16h
61,2081,1003553,2014-06-26-17h
62,2082,1003554,2014-06-26-18h
63,2083,1003555,2014-06-26-19h
64,2084,1003556,2014-06-26-20h
65,2085,1003557,2014-06-26-21h
66,2222,1003694,2014-07-02-14h
67,2223,1003695,2014-07-02-15h
68,2224,1003696,2014-07-02-16h
69,2225,1003697,2014-07-02-17h
70,2226,1003698,2014-07-02-18h
71,2415,1003887,2014-07-10-15h
72,2416,1003888,2014-07-10-16h
73,2417,1003889,2014-07-10-17h
74,2418,1003890,2014-07-10-18h
75,2419,1003891,2014-07-10-19h
76,2420,1003892,2014-07-10-20h
77,2421,1003893,2014-07-10-21h
78,2439,1003911,2014-07-11-15h
79,2440,1003912,2014-07-11-16h
80,2441,1003913,2014-07-11-17h
81,2442,1003914,2014-07-11-18h
82,2443,1003915,2014-07-11-19h
83,2444,1003916,2014-07-11-20h
84,2445,1003917,2014-07-11-21h
85,2455,1003927,2014-07-12-07h
86,2456,1003928,2014-07-12-08h
87,2457,1003929,2014-07-12-09h
88,2461,1003933,2014-07-12-13h
89,2462,1003934,2014-07-12-14h
90,2463,1003935,2014-07-12-15h
91,2464,1003936,2014-07-12-16h
92,2465,1003937,2014-07-12-17h
93,2466,1003938,2014-07-12-18h
94,2467,1003939,2014-07-12-19h
95,2468,1003940,2014-07-12-20h
96,2469,1003941,2014-07-12-21h
97,2480,1003952,2014-07-13-08h
98,3976,1011280,2015-05-14-16h
99,3977,1011281,2015-05-14-17h
100,4063,1011367,2015-05-18-07h
101,4064,1011368,2015-05-18-08h
102,4065,1011369,2015-05-18-09h
103,4072,1011376,2015-05-18-16h
104,4095,1011399,2015-05-19-15h
105,4096,1011400,2015-05-19-16h
106,4097,1011401,2015-05-19-17h
107,4123,1011427,2015-05-20-19h
108,4124,1011428,2015-05-20-20h
109,4288,1011592,2015-05-27-16h
110,4289,1011593,2015-05-27-17h
111,4290,1011594,2015-05-27-18h
112,4291,1011595,2015-05-27-19h
113,4292,1011596,2015-05-27-20h
114,4293,1011597,2015-05-27-21h
115,4294,1011598,2015-05-27-22h
116,4295,1011599,2015-05-27-23h
117,4296,1011600,2015-05-28-00h
118,4301,1011605,2015-05-28-05h
119,4302,1011606,2015-05-28-06h
120,4303,1011607,2015-05-28-07h
121,4304,1011608,2015-05-28-08h
122,4305,1011609,2015-05-28-09h
123,4306,1011610,2015-05-28-10h
124,4307,1011611,2015-05-28-11h
125,4308,1011612,2015-05-28-12h
126,4309,1011613,2015-05-28-13h
127,4310,1011614,2015-05-28-14h
128,4311,1011615,2015-05-28-15h
129,4312,1011616,2015-05-28-16h
130,4313,1011617,2015-05-28-17h
131,4314,1011618,2015-05-28-18h
132,4315,1011619,2015-05-28-19h
133,4316,1011620,2015-05-28-20h
134,4317,1011621,2015-05-28-21h
135,4318,1011622,2015-05-28-22h
136,4319,1011623,2015-05-28-23h
137,4325,1011629,2015-05-29-05h
138,4326,1011630,2015-05-29-06h
139,4327,1011631,2015-05-29-07h
140,4328,1011632,2015-05-29-08h
141,4329,1011633,2015-05-29-09h
142,4330,1011634,2015-05-29-10h
143,4331,1011635,2015-05-29-11h
144,4332,1011636,2015-05-29-12h
145,4333,1011637,2015-05-29-13h
146,4334,1011638,2015-05-29-14h
147,4335,1011639,2015-05-29-15h
148,4336,1011640,2015-05-29-16h
149,4337,1011641,2015-05-29-17h
150,4338,1011642,2015-05-29-18h
151,4339,1011643,2015-05-29-19h
152,4340,1011644,2015-05-29-20h
153,4341,1011645,2015-05-29-21h
154,4342,1011646,2015-05-29-22h
155,4343,1011647,2015-05-29-23h
156,4344,1011648,2015-05-30-00h
157,4345,1011649,2015-05-30-01h
158,4346,1011650,2015-05-30-02h
159,4347,1011651,2015-05-30-03h
160,4348,1011652,2015-05-30-04h
161,4349,1011653,2015-05-30-05h
162,4350,1011654,2015-05-30-06h
163,4351,1011655,2015-05-30-07h
164,4352,1011656,2015-05-30-08h
165,4353,1011657,2015-05-30-09h
166,4359,1011663,2015-05-30-15h
167,4360,1011664,2015-05-30-16h
168,4361,1011665,2015-05-30-17h
169,4408,1011712,2015-06-01-16h
170,4409,1011713,2015-06-01-17h
171,4410,1011714,2015-06-01-18h
172,4411,1011715,2015-06-01-19h
173,4412,1011716,2015-06-01-20h
174,4413,1011717,2015-06-01-21h
175,4416,1011720,2015-06-02-00h
176,4424,1011728,2015-06-02-08h
177,4425,1011729,2015-06-02-09h
178,4428,1011732,2015-06-02-12h
179,4429,1011733,2015-06-02-13h
180,4430,1011734,2015-06-02-14h
181,4431,1011735,2015-06-02-15h
182,4432,1011736,2015-06-02-16h
183,4433,1011737,2015-06-02-17h
184,4434,1011738,2015-06-02-18h
185,4435,1011739,2015-06-02-19h
